gene	length	score	occurrences	# sites
TcCLB.506543.100	1242	56	1	2
TcCLB.506543.113	682	41	2	3
TcCLB.506543.20	995	61	1	7
TcCLB.506543.30	352	68	5	3
TcCLB.506543.40	199	65	8	3
TcCLB.506543.50	162	62	2	2
TcCLB.506543.90	251	59	2	2
TcCLB.506545.5	271	52	2	1
TcCLB.506551.10	246	59	2	13
TcCLB.506553.10	99	37	2	1
TcCLB.506553.20	39	66	1	1
TcCLB.506553.30	104	53	3	3
TcCLB.506553.40	264	54	1	4
TcCLB.506563.10	906	28	1	1
TcCLB.506563.100	92	69	98	18
TcCLB.506563.110	1141	76	10	24
TcCLB.506563.120	361	69	6	8
TcCLB.506563.130	806	56	1	8
TcCLB.506563.160	504	62	2	2
TcCLB.506563.170	1028	70	7	22
TcCLB.506563.180	898	62	9	15
TcCLB.506563.190	205	66	2	4
TcCLB.506563.20	435	23	1	1
TcCLB.506563.200	118	66	2	15
TcCLB.506563.210	1244	59	3	30
TcCLB.506563.220	1237	66	5	56
TcCLB.506563.30	552	61	4	4
TcCLB.506563.40	275	78	34	26
TcCLB.506563.50	109	56	11	12
TcCLB.506563.60	139	47	1	1
TcCLB.506563.70	323	53	3	6
TcCLB.506563.79	1216	60	1	28
TcCLB.506563.90	86	68	2	5
TcCLB.506565.12	443	61	2	6
TcCLB.506565.20	536	39	2	6
TcCLB.506565.29	285	34	1	1
TcCLB.506565.8	95	58	1	1
TcCLB.506567.10	847	43	17	5
TcCLB.506567.100	218	46	1	3
TcCLB.506567.110	149	31	1	1
TcCLB.506567.120	286	46	1	6
TcCLB.506567.130	16	61	1	3
TcCLB.506567.20	23	67	2	1
TcCLB.506567.34	137	33	1	2
TcCLB.506567.50	58	66	1	1
TcCLB.506567.60	622	58	2	5
TcCLB.506567.70	1469	67	2	7
TcCLB.506567.74	93	49	2	2
TcCLB.506567.80	360	61	1	2
TcCLB.506567.90	657	54	1	3
TcCLB.506579.10	126	84	48	4
TcCLB.506579.100	87	66	1	3
TcCLB.506579.20	446	61	1	6
TcCLB.506579.30	252	27	1	1
TcCLB.506579.40	293	51	1	8
TcCLB.506579.50	621	36	1	2
TcCLB.506579.60	142	61	1	4
TcCLB.506579.70	200	61	1	6
TcCLB.506579.90	65	66	1	3
TcCLB.506591.10	119	63	2	7
TcCLB.506591.120	1041	52	3	1
TcCLB.506591.130	479	56	1	5
TcCLB.506591.20	76	56	1	8
TcCLB.506591.30	458	78	11	5
TcCLB.506591.50	109	61	1	2
TcCLB.506591.69	88	66	1	5
TcCLB.506591.81	1222	68	3	6
TcCLB.506591.90	19	55	1	1
TcCLB.506597.36	1682	22	2	1
TcCLB.506599.100	1181	56	1	1
TcCLB.506599.150	363	16	1	1
TcCLB.506599.189	781	31	1	1
TcCLB.506599.240	861	45	4	3
TcCLB.506599.30	349	56	1	2
TcCLB.506599.395	110	61	1	2
TcCLB.506599.420	1254	44	2	4
TcCLB.506601.51	418	48	1	1
TcCLB.506603.20	353	16	1	2
TcCLB.506603.29	103	46	1	4
TcCLB.506603.40	508	48	5	3
TcCLB.506605.10	387	40	5	2
TcCLB.506605.100	98	47	4	4
TcCLB.506605.120	55	72	42	27
TcCLB.506605.130	379	61	1	2
TcCLB.506605.150	184	61	3	7
TcCLB.506605.160	456	47	5	8
TcCLB.506605.170	387	53	1	5
TcCLB.506605.174	569	46	1	2
TcCLB.506605.190	10	22	1	1
TcCLB.506605.194	289	53	2	1
TcCLB.506605.200	373	61	1	3
TcCLB.506605.210	362	62	2	4
TcCLB.506605.214	551	46	4	5
TcCLB.506605.229	1143	54	2	3
TcCLB.506605.30	215	51	1	5
TcCLB.506605.40	128	48	1	11
TcCLB.506605.50	821	73	15	9
TcCLB.506605.59	422	56	38	16
TcCLB.506605.70	117	46	1	2
TcCLB.506605.80	795	51	1	4
TcCLB.506605.90	86	38	1	3
TcCLB.506607.10	494	51	8	5
TcCLB.506623.20	935	3	1	2
TcCLB.506623.30	1436	27	1	2
TcCLB.506623.40	212	56	1	2
TcCLB.506623.60	2107	46	1	6
TcCLB.506625.100	408	56	1	1
TcCLB.506625.110	2727	63	2	13
TcCLB.506625.120	383	61	1	5
TcCLB.506625.130	134	51	1	1
TcCLB.506625.140	84	47	3	1
TcCLB.506625.150	51	57	1	2
TcCLB.506625.160	37	52	1	2
TcCLB.506625.180	207	61	1	3
TcCLB.506625.190	89	61	2	2
TcCLB.506625.200	38	73	3	2
TcCLB.506625.210	15	66	1	5
TcCLB.506625.220	106	36	1	2
TcCLB.506625.230	1296	58	2	4
TcCLB.506625.240	279	61	1	7
TcCLB.506625.35	35	46	1	1
TcCLB.506625.50	546	47	2	3
TcCLB.506625.60	83	36	1	2
TcCLB.506625.70	219	61	1	12
TcCLB.506625.80	238	53	6	5
TcCLB.506625.84	231	57	4	7
TcCLB.506625.90	31	68	4	3
TcCLB.506631.10	56	64	2	3
TcCLB.506631.20	45	40	1	4
TcCLB.506631.30	378	56	1	3
TcCLB.506631.40	270	37	2	1
TcCLB.506633.10	724	58	4	5
TcCLB.506633.100	86	66	1	2
TcCLB.506633.20	21	48	6	3
TcCLB.506633.30	160	61	2	2
TcCLB.506633.74	258	56	1	1
TcCLB.506633.80	76	74	5	4
TcCLB.506635.10	303	59	2	2
TcCLB.506635.100	62	47	2	2
TcCLB.506635.104	129	56	1	5
TcCLB.506635.110	1107	58	2	2
TcCLB.506635.120	422	57	1	11
TcCLB.506635.130	53	55	19	14
TcCLB.506635.139	133	55	33	4
TcCLB.506635.20	523	61	1	9
TcCLB.506635.30	366	62	2	8
TcCLB.506635.40	475	33	1	3
TcCLB.506635.44	138	65	6	5
TcCLB.506635.50	609	53	1	3
TcCLB.506635.60	324	63	3	6
TcCLB.506635.70	1113	67	2	6
TcCLB.506635.80	16	65	12	15
TcCLB.506635.90	283	67	2	1
TcCLB.506637.10	902	67	2	3
TcCLB.506637.100	263	42	2	1
TcCLB.506637.110	103	78	10	7
TcCLB.506637.120	369	33	1	1
TcCLB.506637.20	268	61	1	2
TcCLB.506637.30	17	64	9	8
TcCLB.506637.40	131	72	2	3
TcCLB.506637.50	210	61	1	2
TcCLB.506637.60	24	67	2	1
TcCLB.506637.70	599	45	2	2
TcCLB.506637.80	437	28	1	2
TcCLB.506637.90	656	41	1	1
TcCLB.506647.10	173	55	1	4
TcCLB.506647.20	281	49	1	6
TcCLB.506649.10	119	27	1	4
TcCLB.506649.100	80	66	2	3
TcCLB.506649.20	1292	64	6	24
TcCLB.506649.30	122	52	6	24
TcCLB.506649.40	37	55	2	5
TcCLB.506649.50	98	62	3	6
TcCLB.506649.60	220	46	1	2
TcCLB.506649.64	27	44	1	1
TcCLB.506649.70	184	44	2	10
TcCLB.506649.80	1458	63	3	24
TcCLB.506649.90	296	56	1	3
TcCLB.506653.50	110	53	1	2
TcCLB.506655.20	172	67	2	6
TcCLB.506657.10	266	62	2	4
TcCLB.506657.20	403	63	2	4
TcCLB.506657.30	118	52	2	3
TcCLB.506657.40	507	61	1	9
TcCLB.506657.50	516	57	4	3
TcCLB.506657.70	284	68	5	2
TcCLB.506657.79	497	33	2	1
TcCLB.506657.88	156	40	1	2
TcCLB.506659.10	1411	56	1	14
TcCLB.506659.20	543	52	3	4
TcCLB.506659.30	690	51	1	8
TcCLB.506659.35	447	56	1	2
TcCLB.506661.10	1539	56	1	6
TcCLB.506661.100	22	61	1	2
TcCLB.506661.110	302	42	2	1
TcCLB.506661.120	531	43	3	3
TcCLB.506661.130	328	67	2	3
TcCLB.506661.140	457	59	6	7
TcCLB.506661.150	125	67	2	2
TcCLB.506661.160	31	50	5	4
TcCLB.506661.170	290	36	1	2
TcCLB.506661.20	120	43	14	9
TcCLB.506661.30	1065	69	9	13
TcCLB.506661.40	519	51	1	6
TcCLB.506661.50	25	42	1	2
TcCLB.506661.60	72	71	2	4
TcCLB.506661.70	54	56	1	1
TcCLB.506661.80	38	66	1	4
TcCLB.506661.90	103	48	1	1
TcCLB.506667.110	1352	61	1	2
TcCLB.506667.30	366	57	3	1
TcCLB.506671.10	374	41	1	3
TcCLB.506671.20	372	52	1	2
TcCLB.506671.41	117	43	3	1
TcCLB.506671.50	617	38	1	1
TcCLB.506671.70	2988	53	2	1
TcCLB.506671.90	2731	56	1	1
TcCLB.506673.10	149	53	1	1
TcCLB.506673.20	539	36	1	3
TcCLB.506673.30	664	1	2	2
TcCLB.506673.40	211	69	5	1
TcCLB.506673.50	92	50	1	1
TcCLB.506673.60	86	56	1	4
TcCLB.506677.10	177	62	4	4
TcCLB.506677.20	208	52	2	2
TcCLB.506677.30	113	49	2	5
TcCLB.506677.39	292	43	3	7
TcCLB.506683.10	1789	36	1	2
TcCLB.506683.100	868	45	11	3
TcCLB.506683.110	1116	56	1	1
TcCLB.506683.140	357	56	1	1
TcCLB.506683.180	709	11	1	1
TcCLB.506683.19	133	66	28	2
TcCLB.506683.190	1470	48	1	1
TcCLB.506683.250	204	46	3	1
TcCLB.506683.30	353	56	1	3
TcCLB.506685.10	22	66	1	1
TcCLB.506685.20	68	54	1	3
TcCLB.506685.30	875	59	2	4
TcCLB.506685.40	1080	56	1	4
TcCLB.506691.22	675	51	1	21
TcCLB.506691.30	496	37	1	2
TcCLB.506691.40	357	61	1	7
TcCLB.506691.50	132	53	2	1
TcCLB.506691.60	263	36	1	2
TcCLB.506691.64	38	49	2	5
TcCLB.506691.70	313	63	2	4
TcCLB.506691.80	143	66	3	3
TcCLB.506693.10	323	52	1	1
TcCLB.506693.20	266	62	5	2
TcCLB.506693.30	27	25	1	2
TcCLB.506693.50	83	66	1	5
TcCLB.506693.7	194	24	1	1
TcCLB.506695.10	28	46	1	2
TcCLB.506695.20	308	52	1	4
TcCLB.506695.30	434	26	1	3
TcCLB.506695.40	476	56	1	7
TcCLB.506695.49	27	61	1	2
TcCLB.506695.7	65	72	17	4
TcCLB.506697.20	326	46	1	1
TcCLB.506697.30	103	62	2	2
TcCLB.506697.40	40	37	1	4
TcCLB.506697.60	153	41	1	1
TcCLB.506697.80	1027	39	4	8
TcCLB.506699.10	85	66	2	2
TcCLB.506699.34	339	44	17	15
TcCLB.506699.40	221	30	14	3
TcCLB.506699.6	463	66	2	12
TcCLB.506713.14	241	47	2	2
TcCLB.506713.20	122	61	1	2
TcCLB.506713.24	201	47	2	3
TcCLB.506713.30	108	56	1	1
TcCLB.506713.40	1590	41	1	1
TcCLB.506713.70	220	62	2	1
TcCLB.506715.30	94	67	3	2
TcCLB.506715.40	259	63	2	7
TcCLB.506715.44	33	66	1	2
TcCLB.506715.50	126	61	1	1
TcCLB.506717.10	529	55	4	2
TcCLB.506717.100	1078	61	1	1
TcCLB.506717.130	2213	48	5	1
TcCLB.506717.140	418	23	2	1
TcCLB.506717.20	2135	46	1	1
TcCLB.506717.200	346	49	1	1
TcCLB.506717.219	291	50	1	1
TcCLB.506717.240	2008	33	1	2
TcCLB.506717.30	658	56	1	6
TcCLB.506717.60	1071	56	1	2
TcCLB.506729.20	124	65	4	11
TcCLB.506729.30	208	68	5	3
TcCLB.506729.40	449	61	1	9
TcCLB.506729.50	342	54	4	4
TcCLB.506729.70	750	54	24	10
TcCLB.506729.80	184	51	1	1
TcCLB.506729.90	231	54	4	2
TcCLB.506731.10	645	56	1	5
TcCLB.506733.10	125	36	1	2
TcCLB.506733.100	41	63	4	5
TcCLB.506733.110	22	72	2	2
TcCLB.506733.120	143	61	1	3
TcCLB.506733.130	552	61	1	5
TcCLB.506733.140	1074	57	1	23
TcCLB.506733.20	173	56	1	3
TcCLB.506733.30	394	50	1	6
TcCLB.506733.40	150	32	1	3
TcCLB.506733.50	230	41	1	5
TcCLB.506733.60	189	56	1	6
TcCLB.506733.70	38	68	2	4
TcCLB.506733.80	512	1	1	1
TcCLB.506733.90	503	66	2	7
TcCLB.506735.10	370	67	3	13
TcCLB.506735.20	302	51	1	2
TcCLB.506735.30	711	62	2	10
TcCLB.506735.40	1038	54	1	1
TcCLB.506735.50	78	42	2	1
TcCLB.506735.60	78	51	1	2
TcCLB.506735.70	1079	48	1	5
TcCLB.506735.80	1292	61	1	13
TcCLB.506737.10	244	64	5	4
TcCLB.506737.100	81	69	11	5
TcCLB.506737.114	335	60	2	3
TcCLB.506737.121	162	56	1	3
TcCLB.506737.128	337	68	4	3
TcCLB.506737.135	526	16	1	2
TcCLB.506737.140	178	61	1	5
TcCLB.506737.151	1114	61	1	1
TcCLB.506737.20	152	48	1	7
TcCLB.506737.30	239	51	1	2
TcCLB.506737.40	241	56	3	3
TcCLB.506737.50	97	46	1	3
TcCLB.506737.60	22	66	1	3
TcCLB.506737.70	217	61	1	8
TcCLB.506737.90	509	51	1	1
TcCLB.506739.10	303	64	31	35
TcCLB.506739.110	589	18	1	2
TcCLB.506739.120	109	61	2	1
TcCLB.506739.130	78	55	4	2
TcCLB.506739.140	1297	42	2	2
TcCLB.506739.150	126	89	65	8
TcCLB.506739.160	232	61	2	2
TcCLB.506739.170	10	78	9	4
TcCLB.506739.180	915	61	1	6
TcCLB.506739.190	528	61	5	9
TcCLB.506739.20	331	59	103	19
TcCLB.506739.200	1221	67	5	18
TcCLB.506739.30	184	41	1	1
TcCLB.506739.40	62	66	1	4
TcCLB.506739.50	1364	70	11	28
TcCLB.506739.60	55	66	1	3
TcCLB.506739.70	140	65	1	1
TcCLB.506739.80	1204	61	1	12
TcCLB.506739.90	229	67	3	6
TcCLB.506739.99	133	72	33	13
TcCLB.506743.10	16	63	1	2
TcCLB.506743.100	96	61	1	3
TcCLB.506743.110	799	54	37	37
TcCLB.506743.120	24	37	1	1
TcCLB.506743.130	265	51	1	1
TcCLB.506743.135	297	51	2	2
TcCLB.506743.140	53	37	3	2
TcCLB.506743.160	365	62	5	2
TcCLB.506743.170	119	52	1	2
TcCLB.506743.180	621	45	3	3
TcCLB.506743.200	47	56	3	7
TcCLB.506743.210	69	56	1	2
TcCLB.506743.220	41	51	1	2
TcCLB.506743.30	72	53	1	1
TcCLB.506743.69	20	67	2	3
TcCLB.506743.80	112	66	1	1
TcCLB.506743.90	100	31	1	1
TcCLB.506745.10	378	61	1	2
TcCLB.506745.20	90	66	1	2
TcCLB.506747.20	365	43	1	4
TcCLB.506747.30	57	44	5	2
TcCLB.506749.10	503	56	1	2
TcCLB.506749.20	63	75	6	2
TcCLB.506749.30	136	27	2	1
TcCLB.506753.100	34	71	3	5
TcCLB.506753.110	1043	74	13	7
TcCLB.506753.120	221	41	2	5
TcCLB.506753.140	74	67	17	12
TcCLB.506753.150	307	48	1	4
TcCLB.506753.160	61	57	2	2
TcCLB.506753.164	220	56	1	3
TcCLB.506753.170	156	51	1	2
TcCLB.506753.180	626	57	1	4
TcCLB.506753.200	63	72	2	2
TcCLB.506753.210	131	54	1	3
TcCLB.506753.220	168	66	1	2
TcCLB.506753.230	1356	41	1	5
TcCLB.506753.40	35	61	1	1
TcCLB.506753.50	36	68	2	2
TcCLB.506753.60	29	66	1	2
TcCLB.506753.70	176	57	1	2
TcCLB.506753.80	270	56	1	5
TcCLB.506753.90	296	48	1	3
TcCLB.506755.10	597	22	4	3
TcCLB.506755.100	106	58	4	8
TcCLB.506755.110	322	51	1	3
TcCLB.506755.120	159	36	1	1
TcCLB.506755.130	241	56	1	3
TcCLB.506755.140	204	53	1	5
TcCLB.506755.150	48	73	4	4
TcCLB.506755.160	367	59	4	7
TcCLB.506755.190	1440	37	1	11
TcCLB.506755.20	1117	51	1	8
TcCLB.506755.200	55	68	2	3
TcCLB.506755.210	88	66	1	4
TcCLB.506755.230	183	17	1	1
TcCLB.506755.240	87	57	2	11
TcCLB.506755.250	839	51	1	10
TcCLB.506755.260	79	62	11	31
TcCLB.506755.270	512	36	1	4
TcCLB.506755.30	218	56	1	1
TcCLB.506755.40	56	41	1	3
TcCLB.506755.50	68	59	5	14
TcCLB.506755.70	44	72	3	4
TcCLB.506755.74	1143	48	1	4
TcCLB.506755.90	125	31	1	1
TcCLB.506757.10	128	37	2	2
TcCLB.506757.100	1016	36	1	2
TcCLB.506757.20	239	53	13	17
TcCLB.506757.50	1072	63	4	5
TcCLB.506757.70	87	47	1	2
TcCLB.506759.20	352	61	2	2
TcCLB.506759.220	709	26	1	2
TcCLB.506759.31	2366	56	1	1
TcCLB.506759.90	1019	33	1	1
TcCLB.506761.54	363	46	1	2
TcCLB.506763.210	755	11	1	1
TcCLB.506763.260	353	41	1	1
TcCLB.506763.340	395	57	1	1
TcCLB.506763.361	249	11	1	1
TcCLB.506763.4	631	61	1	2
TcCLB.506765.10	242	52	1	1
TcCLB.506765.50	356	42	1	1
TcCLB.506765.74	361	56	1	6
TcCLB.506767.123	228	40	5	1
TcCLB.506767.127	632	51	1	1
TcCLB.506767.196	970	16	1	1
TcCLB.506767.310	1050	61	1	1
TcCLB.506767.324	1321	41	1	1
TcCLB.506767.40	361	56	1	2
TcCLB.506767.80	1291	50	3	1
TcCLB.506771.18	859	68	3	8
TcCLB.506773.10	82	44	4	1
TcCLB.506773.100	139	25	1	5
TcCLB.506773.104	421	59	6	2
TcCLB.506773.110	66	66	1	3
TcCLB.506773.120	423	19	1	1
TcCLB.506773.130	67	66	1	6
TcCLB.506773.140	280	67	2	3
TcCLB.506773.150	71	51	1	1
TcCLB.506773.160	219	67	2	3
TcCLB.506773.170	265	51	1	5
TcCLB.506773.180	275	51	1	2
TcCLB.506773.20	116	51	1	5
TcCLB.506773.40	88	55	4	6
TcCLB.506773.44	594	68	25	37
TcCLB.506773.50	906	61	5	7
TcCLB.506773.70	713	62	2	3
TcCLB.506773.80	203	61	1	6
TcCLB.506773.90	242	49	1	2
TcCLB.506775.100	383	41	1	1
TcCLB.506775.110	31	53	1	13
TcCLB.506775.140	114	51	1	2
TcCLB.506775.150	319	48	1	3
TcCLB.506775.170	258	56	1	3
TcCLB.506775.180	588	67	2	5
TcCLB.506775.190	1185	41	1	2
TcCLB.506775.22	102	52	1	2
TcCLB.506775.30	516	52	2	11
TcCLB.506775.40	121	46	1	2
TcCLB.506775.50	342	63	5	1
TcCLB.506775.60	106	56	3	3
TcCLB.506775.70	48	51	1	3
TcCLB.506775.80	2005	71	15	53
TcCLB.506775.90	1091	62	2	27
TcCLB.506777.10	90	56	1	1
TcCLB.506777.100	37	43	2	1
TcCLB.506777.110	203	36	1	1
TcCLB.506777.120	203	56	1	4
TcCLB.506777.24	602	47	1	1
TcCLB.506777.30	155	51	1	3
TcCLB.506777.40	179	46	3	1
TcCLB.506777.50	436	67	7	5
TcCLB.506777.60	165	56	1	4
TcCLB.506777.64	14	61	1	3
TcCLB.506777.70	342	42	8	5
TcCLB.506777.80	728	70	6	32
TcCLB.506777.90	101	53	1	1
TcCLB.506779.10	173	7	1	1
TcCLB.506779.110	386	47	1	3
TcCLB.506779.120	225	67	2	3
TcCLB.506779.130	82	55	2	1
TcCLB.506779.140	581	54	1	5
TcCLB.506779.150	531	66	2	13
TcCLB.506779.160	764	50	1	1
TcCLB.506779.170	80	41	1	2
TcCLB.506779.180	508	53	1	7
TcCLB.506779.190	460	62	2	5
TcCLB.506779.20	216	51	1	2
TcCLB.506779.44	76	72	2	5
TcCLB.506779.50	239	63	2	6
TcCLB.506779.60	77	66	1	4
TcCLB.506779.70	294	36	1	2
TcCLB.506779.80	75	66	37	15
TcCLB.506779.90	552	56	1	6
TcCLB.506795.100	130	33	1	1
TcCLB.506795.20	850	61	1	24
TcCLB.506795.29	215	62	2	8
TcCLB.506795.40	78	63	1	6
TcCLB.506795.44	15	51	1	8
TcCLB.506795.50	36	73	2	3
TcCLB.506795.60	245	51	1	3
TcCLB.506795.70	20	74	7	1
TcCLB.506795.80	335	61	1	1
TcCLB.506795.90	18	62	11	19
TcCLB.506797.100	151	61	1	4
TcCLB.506797.110	237	76	14	7
TcCLB.506797.120	413	41	2	7
TcCLB.506797.20	253	67	2	7
TcCLB.506797.30	70	55	2	4
TcCLB.506797.40	1564	62	3	17
TcCLB.506797.50	1305	64	3	10
TcCLB.506797.60	233	69	8	15
TcCLB.506797.70	123	67	3	7
TcCLB.506797.80	74	66	1	4
TcCLB.506799.10	1068	64	3	5
TcCLB.506799.100	1920	56	1	1
TcCLB.506799.120	82	5	1	1
TcCLB.506799.130	373	65	4	2
TcCLB.506799.20	1922	53	1	1
TcCLB.506799.40	750	61	1	4
TcCLB.506799.50	1123	61	1	1
TcCLB.506799.90	1608	61	2	3
TcCLB.506801.10	729	30	2	1
TcCLB.506801.100	84	70	3	3
TcCLB.506801.110	200	78	12	1
TcCLB.506801.120	59	34	1	9
TcCLB.506801.20	1827	59	4	2
TcCLB.506801.30	843	56	1	1
TcCLB.506801.40	371	23	4	4
TcCLB.506801.50	992	61	1	1
TcCLB.506801.80	325	67	66	55
TcCLB.506801.90	163	68	3	7
TcCLB.506811.10	721	11	1	2
TcCLB.506811.100	220	51	2	8
TcCLB.506811.110	81	58	1	2
TcCLB.506811.120	246	56	1	3
TcCLB.506811.140	115	61	1	4
TcCLB.506811.150	51	73	3	28
TcCLB.506811.160	544	61	1	4
TcCLB.506811.170	129	61	1	3
TcCLB.506811.180	1496	28	2	4
TcCLB.506811.190	34	75	38	15
TcCLB.506811.20	1138	60	2	7
TcCLB.506811.200	72	66	1	3
TcCLB.506811.220	250	63	2	2
TcCLB.506811.30	275	67	6	8
TcCLB.506811.40	421	56	1	5
TcCLB.506811.50	11	45	3	2
TcCLB.506811.60	76	51	1	1
TcCLB.506811.70	301	36	1	1
TcCLB.506811.80	80	66	1	2
TcCLB.506811.90	31	72	3	2
TcCLB.506825.100	472	32	1	2
TcCLB.506825.120	505	61	1	3
TcCLB.506825.130	99	56	1	4
TcCLB.506825.140	183	62	2	8
TcCLB.506825.150	1122	46	1	3
TcCLB.506825.160	1502	43	7	3
TcCLB.506825.170	892	62	4	14
TcCLB.506825.180	203	52	5	10
TcCLB.506825.190	515	64	4	19
TcCLB.506825.20	814	56	1	12
TcCLB.506825.200	484	61	1	8
TcCLB.506825.210	184	45	2	12
TcCLB.506825.219	124	56	1	4
TcCLB.506825.230	306	52	5	10
TcCLB.506825.24	18	39	1	3
TcCLB.506825.30	23	74	4	3
TcCLB.506825.40	1560	22	2	3
TcCLB.506825.50	114	43	2	3
TcCLB.506825.60	49	62	2	8
TcCLB.506825.80	161	53	2	2
TcCLB.506825.90	582	52	1	6
TcCLB.506829.10	345	33	1	3
TcCLB.506829.100	1319	41	5	4
TcCLB.506829.110	191	31	1	1
TcCLB.506829.20	230	49	1	3
TcCLB.506829.30	224	61	1	1
TcCLB.506829.39	93	75	14	11
TcCLB.506829.5	398	56	3	8
TcCLB.506829.50	104	61	1	1
TcCLB.506829.60	410	56	1	2
TcCLB.506829.80	57	57	3	19
TcCLB.506829.90	1529	47	2	21
TcCLB.506847.30	22	38	1	1
TcCLB.506847.50	573	56	1	2
TcCLB.506847.70	271	56	1	2
TcCLB.506857.10	345	46	7	12
TcCLB.506857.100	243	42	1	2
TcCLB.506857.110	784	40	15	9
TcCLB.506857.120	243	59	1	8
TcCLB.506857.20	291	58	4	4
TcCLB.506857.30	75	16	1	1
TcCLB.506857.40	135	52	1	1
TcCLB.506857.50	483	66	2	3
TcCLB.506857.60	152	61	1	3
TcCLB.506857.70	50	72	3	4
TcCLB.506857.80	314	51	1	4
TcCLB.506857.90	609	61	1	8
TcCLB.506859.10	937	61	1	13
TcCLB.506859.100	149	31	1	2
TcCLB.506859.130	28	66	5	2
TcCLB.506859.150	1	56	1	4
TcCLB.506859.170	1801	69	58	55
TcCLB.506859.180	1174	41	1	4
TcCLB.506859.20	266	56	1	8
TcCLB.506859.204	1319	14	2	1
TcCLB.506859.230	2255	28	1	1
TcCLB.506859.240	59	51	2	5
TcCLB.506859.249	222	68	5	5
TcCLB.506859.30	543	67	2	13
TcCLB.506859.49	44	74	4	2
TcCLB.506859.70	29	64	14	12
TcCLB.506859.80	1149	65	9	27
TcCLB.506859.90	192	61	1	2
TcCLB.506861.10	418	57	3	2
TcCLB.506861.20	179	61	1	2
TcCLB.506861.30	87	92	55	8
TcCLB.506863.10	399	52	1	6
TcCLB.506863.20	138	54	1	4
TcCLB.506863.30	1534	56	1	2
TcCLB.506863.4	159	48	1	3
TcCLB.506863.50	103	37	1	2
TcCLB.506863.60	23	61	1	3
TcCLB.506863.70	1125	42	1	3
TcCLB.506865.10	58	68	2	3
TcCLB.506865.2	427	69	10	9
TcCLB.506865.20	585	56	1	7
TcCLB.506865.30	156	67	2	5
TcCLB.506865.4	115	73	3	2
TcCLB.506865.40	307	56	1	3
TcCLB.506865.50	383	53	2	5
TcCLB.506865.60	173	47	2	3
TcCLB.506865.70	200	32	3	3
TcCLB.506867.10	1148	47	2	4
TcCLB.506867.20	767	56	1	7
TcCLB.506867.30	205	45	4	2
TcCLB.506869.10	113	48	1	2
TcCLB.506869.20	341	41	1	1
TcCLB.506869.30	7	49	1	3
TcCLB.506869.34	116	42	3	4
TcCLB.506869.40	111	66	1	4
TcCLB.506869.50	182	36	1	1
TcCLB.506869.54	74	62	1	4
TcCLB.506869.60	1149	56	1	14
TcCLB.506869.70	628	48	1	4
TcCLB.506885.10	19	68	2	4
TcCLB.506885.110	87	44	1	3
TcCLB.506885.124	490	63	3	3
TcCLB.506885.14	58	92	43	6
TcCLB.506885.140	840	26	1	2
TcCLB.506885.170	45	66	1	2
TcCLB.506885.180	206	46	1	3
TcCLB.506885.20	86	68	2	2
TcCLB.506885.200	47	67	16	27
TcCLB.506885.204	2918	65	4	68
TcCLB.506885.210	1628	36	1	2
TcCLB.506885.250	83	61	1	2
TcCLB.506885.260	261	63	2	35
TcCLB.506885.270	825	61	1	2
TcCLB.506885.290	40	62	1	1
TcCLB.506885.30	402	51	1	2
TcCLB.506885.300	240	62	2	6
TcCLB.506885.310	357	72	15	6
TcCLB.506885.320	153	66	2	6
TcCLB.506885.330	117	51	1	1
TcCLB.506885.340	189	55	27	17
TcCLB.506885.350	278	50	3	14
TcCLB.506885.354	963	46	7	2
TcCLB.506885.360	210	41	1	1
TcCLB.506885.364	559	18	1	1
TcCLB.506885.370	162	65	3	1
TcCLB.506885.380	546	60	28	9
TcCLB.506885.390	65	66	1	2
TcCLB.506885.394	240	51	1	1
TcCLB.506885.40	109	62	10	20
TcCLB.506885.400	1235	63	2	6
TcCLB.506885.410	219	51	2	23
TcCLB.506885.413	341	43	3	4
TcCLB.506885.416	112	49	4	5
TcCLB.506885.420	62	43	1	3
TcCLB.506885.430	278	64	3	12
TcCLB.506885.450	377	26	1	1
TcCLB.506885.480	2863	6	3	1
TcCLB.506885.50	86	62	1	4
TcCLB.506885.60	122	72	2	1
TcCLB.506885.70	317	66	1	9
TcCLB.506885.80	199	58	5	13
TcCLB.506885.90	197	46	1	2
TcCLB.506887.10	2405	65	10	8
TcCLB.506887.100	93	52	4	12
TcCLB.506887.110	85	51	1	3
TcCLB.506887.20	323	61	1	5
TcCLB.506887.40	706	50	9	17
TcCLB.506887.50	226	61	1	3
TcCLB.506887.60	247	51	1	2
TcCLB.506887.69	277	40	8	4
TcCLB.506887.80	64	73	4	7
TcCLB.506887.90	312	64	3	2
TcCLB.506891.30	148	42	2	2
TcCLB.506893.25	89	71	2	2
TcCLB.506893.40	120	61	1	3
TcCLB.506893.50	136	61	1	2
TcCLB.506893.60	158	46	1	1
TcCLB.506893.70	162	56	1	1
TcCLB.506893.80	34	35	2	1
TcCLB.506893.90	28	63	2	2
TcCLB.506895.10	268	61	1	1
TcCLB.506895.20	293	56	1	1
TcCLB.506895.30	589	16	1	5
TcCLB.506895.40	511	61	1	13
TcCLB.506895.60	88	63	2	1
TcCLB.506907.30	82	41	1	1
TcCLB.506925.104	296	59	35	43
TcCLB.506925.110	33	58	59	9
TcCLB.506925.120	78	62	10	4
TcCLB.506925.130	81	80	17	8
